MALE_1,AGE_1,AGE_2,AGE_3,AGE_4,INCOME_0,INCOME_1,INCOME_2,FIRST_1,WHO_1,WHO_2,PURPOSE_1,PURPOSE_2,PURPOSE_3,LUGGAGE_1,LUGGAGE_2,GA_1,TRAIN_TT,TRAIN_HE,TRAIN_CO,SM_TT,SM_HE,SM_SEATS,SM_CO,CAR_TT,CAR_CO,CHOICE,CAR_AV
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1.48,1.2,1.3,0.68,0.1,0.0,1.76,1.3,0.84,1,1
1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2.99,0.3,2.62,1.43,0.3,0.0,2.81,1.52,2.08,1,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1.24,0.6,0.0,0.5700000000000001,0.2,0.0,0.0,0.0,0.0,1,0
1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1.45,1.2,1.53,0.75,0.3,0.0,1.67,0.96,1.1,1,1
1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.1400000000000001,0.3,0.8,0.49,0.2,0.0,1.06,0.96,0.56,2,1
1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1.68,0.3,1.0,1.19,0.2,0.0,1.11,1.3,0.84,2,1
1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2.27,0.6,0.9400000000000001,1.08,0.1,0.0,1.18,2.86,1.69,1,1
1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1.3800000000000001,0.6,0.64,0.93,0.1,0.0,0.76,1.3,0.84,1,1
1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1.48,0.6,0.52,0.51,0.2,0.0,0.7000000000000001,1.2,1.04,1,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.78,0.6,0.6,0.35000000000000003,0.2,1.0,0.71,1.43,0.5,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1.03,1.2,0.0,0.61,0.1,0.0,0.0,0.0,0.0,1,0
1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.36,0.3,1.48,0.71,0.3,0.0,1.6500000000000001,1.52,1.82,1,1
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0.9,0.3,0.0,0.41000000000000003,0.1,0.0,0.0,0.91,0.45,1,1
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.98,0.3,0.31,0.4,0.3,0.0,0.36,0.91,0.4,2,1
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.85,0.3,0.62,0.97,0.2,0.0,0.8200000000000001,1.6,0.84,1,1
1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1.86,1.2,0.64,1.11,0.2,0.0,0.76,0.8,0.52,2,1
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2.11,0.6,0.79,1.79,0.1,0.0,0.8200000000000001,2.7,1.44,2,1
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1.72,1.2,0.75,0.98,0.2,0.0,0.9,0.8,0.52,2,1
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.96,0.3,0.26,0.62,0.1,0.0,0.29,0.0,0.0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.16,0.3,1.28,0.79,0.3,0.0,1.56,2.99,1.24,2,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.8300000000000001,1.2,0.0,0.34,0.3,0.0,0.0,0.0,0.0,1,0
1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.81,0.6,0.5,1.44,0.1,0.0,0.52,1.2,0.64,2,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.3900000000000001,1.2,0.0,0.77,0.1,1.0,0.0,0.0,0.0,1,0
0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1.57,1.2,0.0,0.59,0.3,0.0,0.0,0.0,0.0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.92,0.3,0.31,0.37,0.1,0.0,0.38,0.72,0.5,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1.9000000000000001,0.3,0.52,1.25,0.2,0.0,0.72,1.04,0.64,2,1
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1.22,1.2,1.7,0.64,0.1,0.0,2.18,1.04,0.75,2,1
1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1.1,1.2,0.0,0.6900000000000001,0.1,0.0,0.0,0.8,1.5,1,1
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.47000000000000003,0.6,0.29,0.25,0.3,1.0,0.38,0.84,0.65,1,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1.41,0.6,0.0,0.7000000000000001,0.3,0.0,0.0,1.3,0.48,1,1
1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2.83,0.3,2.2,0.9500000000000001,0.1,0.0,2.66,1.92,2.0,1,1
0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1.74,0.3,0.0,0.76,0.2,0.0,0.0,0.0,0.0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1.2,1.11,0.63,0.1,0.0,1.56,2.1,0.92,0,1
1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2.52,0.6,1.19,1.33,0.1,0.0,1.44,2.86,1.8800000000000001,1,1
1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.06,0.6,0.72,0.41000000000000003,0.3,0.0,0.9400000000000001,1.17,0.52,1,1
1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1.46,1.2,0.0,0.71,0.3,1.0,0.0,0.9,0.4,1,1
1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1.28,0.6,0.0,0.86,0.1,0.0,0.0,1.12,4.0,0,1
1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.92,0.6,0.74,0.39,0.3,0.0,1.16,0.6,0.35000000000000003,2,1
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1.11,0.6,0.46,0.53,0.2,0.0,0.49,0.72,0.4,1,1
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.79,0.3,0.6,1.08,0.3,0.0,0.64,1.28,1.04,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.35,0.6,0.42,0.56,0.1,0.0,0.48,0.8,0.5,1,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.62,0.3,0.74,1.07,0.1,0.0,0.84,2.1,0.52,1,1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1.11,1.2,0.0,0.41000000000000003,0.3,1.0,0.0,0.0,0.0,1,0
1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.8200000000000001,1.2,0.38,0.34,0.3,0.0,0.44,0.91,0.32,1,1
1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0.51,0.6,0.29,0.32,0.2,1.0,0.34,0.52,0.25,1,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.75,0.6,1.06,1.23,0.2,0.0,1.1400000000000001,2.34,1.05,2,1
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1.48,0.3,1.3,0.72,0.1,0.0,1.47,1.0,0.52,2,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.6,0.3,0.89,1.17,0.1,0.0,0.88,1.3,0.78,1,1
1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.99,1.2,1.16,1.16,0.1,0.0,1.5,1.44,1.1500000000000001,1,1
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9000000000000001,0.3,0.93,0.8200000000000001,0.1,0.0,1.08,1.2,1.25,1,1
1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,4.75,0.6,1.75,3.96,0.1,0.0,1.96,3.3000000000000003,1.76,2,1
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8,1.2,0.59,1.25,0.1,0.0,0.72,1.12,0.9,2,1
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0.46,0.3,0.0,0.2,0.3,1.0,0.0,0.52,0.2,0,1
1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1.74,0.6,0.17,0.6900000000000001,0.1,0.0,0.25,2.34,1.17,1,1
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.25,0.3,0.8,0.44,0.3,0.0,0.91,1.43,0.64,1,1
1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,2.11,1.2,0.8300000000000001,1.53,0.1,0.0,1.05,1.5,0.8,2,1
0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0.46,1.2,0.75,0.25,0.3,0.0,1.0,0.0,0.0,1,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.9500000000000001,1.2,0.19,0.44,0.3,0.0,0.23,0.88,0.97,1,1
1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,2.37,1.2,1.1,0.91,0.3,0.0,1.18,1.6,0.9500000000000001,1,1
1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2.02,0.6,0.9400000000000001,1.17,0.3,0.0,1.12,1.43,0.64,2,1
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1.12,0.3,0.72,0.63,0.1,0.0,0.8300000000000001,0.8,0.6,0,1
1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1.78,0.3,0.4,0.93,0.2,0.0,0.53,1.56,0.7000000000000001,1,1
1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.79,0.6,1.84,1.46,0.2,0.0,1.98,2.08,1.05,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.97,1.2,0.0,0.27,0.3,1.0,0.0,0.0,0.0,1,0
1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.85,0.3,0.6,0.27,0.3,1.0,0.74,1.17,0.48,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4.0600000000000005,0.3,1.49,2.35,0.1,0.0,1.6500000000000001,2.5,1.04,2,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1.32,1.2,0.0,0.77,0.2,0.0,0.0,0.0,0.0,0,0
1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1.96,1.2,0.8300000000000001,0.8200000000000001,0.1,0.0,1.18,1.6,1.08,2,1
1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,2.2800000000000002,0.3,0.97,1.7,0.3,0.0,1.09,2.21,0.84,1,1
1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.68,1.2,0.46,1.2,0.3,0.0,0.5,0.88,0.78,2,1
1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2.24,1.2,1.31,0.92,0.1,0.0,1.78,1.6,1.4000000000000001,2,1
1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2.49,0.3,0.81,0.98,0.2,0.0,1.12,1.95,1.05,1,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.05,0.6,0.74,1.17,0.1,0.0,0.81,0.8,0.6,2,1
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.0100000000000002,0.6,0.41000000000000003,1.2,0.2,0.0,0.48,1.3,0.91,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8200000000000001,1.2,0.6,0.38,0.1,0.0,0.86,0.56,0.35000000000000003,2,1
1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1.02,0.6,0.0,0.32,0.1,0.0,0.0,0.48,0.3,1,1
0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1.9000000000000001,1.2,0.77,0.9400000000000001,0.2,0.0,0.91,1.04,0.8,2,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.96,0.3,0.5,0.85,0.2,0.0,0.8,1.68,0.92,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.49,1.2,1.19,0.9400000000000001,0.1,0.0,1.44,1.28,1.1,2,1
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.92,0.3,0.54,0.37,0.1,0.0,0.65,0.88,0.65,1,1
1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.08,0.3,0.62,0.79,0.1,0.0,0.66,1.9000000000000001,0.8,1,1
0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0.81,1.2,0.0,0.59,0.3,0.0,0.0,0.48,0.52,0,1
1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.91,1.2,0.58,0.45,0.3,0.0,0.68,1.17,0.48,1,1
1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1.18,0.3,0.56,0.7000000000000001,0.1,0.0,0.78,1.0,0.48,2,1
1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1.76,0.6,1.58,0.76,0.1,0.0,1.94,2.21,1.43,1,1
1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2.15,0.6,1.1400000000000001,1.28,0.3,0.0,1.3900000000000001,1.43,0.52,2,1
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.74,0.3,0.49,0.55,0.3,0.0,0.58,1.95,0.76,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.6400000000000001,1.2,0.22,0.8300000000000001,0.1,1.0,0.28,0.0,0.0,1,0
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.07,0.6,0.19,0.6,0.1,0.0,0.25,1.36,0.9500000000000001,1,1
1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,2.33,1.2,2.0300000000000002,1.78,0.1,0.0,2.54,1.2,0.9,2,1
1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.2,0.3,1.49,1.45,0.3,0.0,1.77,3.5100000000000002,1.68,1,1
1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2.9,1.2,2.37,1.35,0.3,0.0,2.66,1.92,2.4,2,1
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.2600000000000002,1.2,0.14,1.01,0.2,0.0,0.15,2.73,1.1500000000000001,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.46,0.6,0.67,1.05,0.3,0.0,0.88,2.08,0.88,1,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2.3000000000000003,0.6,1.27,1.23,0.3,0.0,1.49,2.21,0.88,2,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.42,0.6,0.28,0.93,0.1,0.0,0.32,0.0,0.0,1,0
1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.47,1.2,0.64,0.92,0.3,0.0,0.72,1.76,1.69,2,1
1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,3.12,0.6,2.25,0.86,0.1,0.0,2.74,1.92,1.7,1,1
1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3.75,0.3,1.4000000000000001,1.1500000000000001,0.2,0.0,1.98,3.77,2.15,1,1
1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1.3,1.2,0.74,0.85,0.2,0.0,0.84,1.2,0.91,1,1
1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2.45,0.3,2.84,1.3800000000000001,0.1,0.0,3.0100000000000002,3.25,2.34,1,1
1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.73,1.2,0.49,1.27,0.3,0.0,0.53,1.12,1.23,2,1
1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2.05,1.2,0.84,0.61,0.1,0.0,1.18,1.82,1.23,1,1
0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1.28,1.2,0.0,0.63,0.2,1.0,0.0,0.0,0.0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.34,1.2,0.5,1.41,0.3,0.0,0.5,1.2,0.8,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.6400000000000001,1.2,0.93,0.5,0.1,0.0,1.32,1.7,0.68,2,1
1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1.6300000000000001,0.3,0.68,1.29,0.1,0.0,0.88,1.12,0.85,2,1
0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,2.2,0.6,0.0,0.7000000000000001,0.1,0.0,0.0,0.0,0.0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0.73,0.3,0.0,0.23,0.1,0.0,0.0,0.0,0.0,1,0
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2.57,1.2,0.56,1.76,0.3,0.0,0.64,2.86,1.44,1,1
1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1.06,0.3,0.72,0.37,0.3,0.0,0.84,0.72,0.84,2,1
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.24,0.6,0.46,0.66,0.2,0.0,0.46,0.72,0.44,1,1
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.05,1.2,1.8,0.52,0.2,0.0,1.95,0.78,0.4,1,1
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2.06,0.3,0.65,0.65,0.3,0.0,0.74,1.36,1.3,1,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1.62,1.2,0.0,0.54,0.2,0.0,0.0,0.0,0.0,1,0
0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0.54,1.2,0.0,0.32,0.3,0.0,0.0,0.4,0.78,1,1
1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.46,0.3,2.0100000000000002,0.27,0.3,0.0,2.9,0.0,0.0,1,0
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1.11,1.2,0.74,0.44,0.1,1.0,1.16,0.0,0.0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1.74,0.6,0.59,0.55,0.2,0.0,0.64,1.2,0.76,1,1
0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1.07,1.2,2.71,0.93,0.1,0.0,3.62,0.72,0.45,2,1
1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,3.38,0.6,1.31,1.92,0.3,0.0,1.6500000000000001,3.25,1.16,1,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2.43,1.2,1.08,0.98,0.1,1.0,1.49,0.0,0.0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1.4000000000000001,0.3,0.71,1.1400000000000001,0.3,0.0,0.8,1.17,0.44,2,1
1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1.46,0.6,0.97,0.85,0.1,1.0,1.05,1.5,0.72,2,1
1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2.63,1.2,0.0,1.12,0.3,1.0,0.0,1.5,0.75,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.8000000000000003,0.6,0.51,1.6400000000000001,0.2,0.0,0.5700000000000001,2.1,1.62,1,1
1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2.11,0.6,0.66,1.83,0.2,0.0,0.7000000000000001,3.5100000000000002,1.8,2,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.66,1.2,0.0,0.35000000000000003,0.1,1.0,0.0,0.65,0.52,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.2,0.3,0.51,1.7,0.3,0.0,0.58,2.1,1.25,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.05,0.6,1.18,0.6900000000000001,0.3,0.0,1.61,1.95,0.8,1,1
1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2.14,1.2,1.08,1.1400000000000001,0.3,0.0,1.23,1.6,1.56,2,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.98,1.2,0.29,0.85,0.1,0.0,0.38,1.0,0.32,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.48,1.2,0.74,0.71,0.3,0.0,0.8,2.0,1.35,1,1
1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2.66,0.3,1.31,1.78,0.1,0.0,1.4000000000000001,3.25,1.8800000000000001,1,1
1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1.1300000000000001,0.6,0.64,0.66,0.3,0.0,0.84,0.72,0.71,2,1
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1.69,0.6,2.17,0.84,0.1,0.0,2.45,1.7,0.88,1,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1.7,1.2,0.51,0.76,0.3,0.0,0.58,2.47,0.76,0,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.97,0.3,0.9,0.78,0.3,0.0,1.09,2.08,0.68,2,1
1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1.3,0.6,0.89,0.88,0.1,0.0,0.9400000000000001,1.2,0.56,1,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.03,0.3,0.45,0.31,0.2,0.0,0.68,0.91,0.45,2,1
1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1.74,0.3,2.0,0.6900000000000001,0.2,0.0,2.74,1.8,1.43,2,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.88,0.3,0.0,0.41000000000000003,0.1,0.0,0.0,0.0,0.0,1,0
1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.52,1.2,0.46,1.1300000000000001,0.2,0.0,0.52,1.1,0.78,1,1
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.98,0.3,0.8200000000000001,0.9500000000000001,0.1,0.0,0.86,1.3,0.78,1,1
1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.6,0.3,1.3900000000000001,1.25,0.3,0.0,1.61,3.25,1.44,1,1
0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2.08,0.6,0.76,0.64,0.2,0.0,0.88,1.1,1.23,1,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.82,1.2,0.74,0.81,0.1,0.0,0.99,1.68,1.45,1,1
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2.39,0.6,2.62,1.02,0.2,0.0,2.81,1.84,1.04,2,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.46,0.6,1.0,0.74,0.3,0.0,1.23,1.17,0.4,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.12,1.2,0.26,1.21,0.3,1.0,0.27,12.0,0.1,2,1
1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.92,1.2,0.0,0.36,0.1,0.0,0.0,0.6,0.24,1,1
1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2.31,0.6,0.0,1.23,0.3,0.0,0.0,2.1,0.6,0,1
0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1.57,0.6,0.45,0.53,0.3,1.0,0.8,0.0,0.0,1,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1.73,0.6,1.19,1.48,0.1,0.0,1.28,1.4000000000000001,0.72,2,1
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.5700000000000001,0.3,0.84,0.38,0.2,0.0,0.9400000000000001,0.88,0.64,1,1
0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1.48,0.6,0.0,1.11,0.2,1.0,0.0,0.0,0.0,0,0
0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,2.83,0.3,1.46,1.09,0.2,0.0,2.07,2.7,1.95,1,1
1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1.73,0.3,0.0,0.97,0.1,0.0,0.0,0.9,0.48,1,1
1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1.98,0.6,0.74,1.45,0.3,0.0,0.88,1.4000000000000001,0.85,2,1
0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.04,0.6,3.0700000000000003,0.41000000000000003,0.3,0.0,4.1,0.0,0.0,0,0
1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1.78,1.2,0.9400000000000001,0.97,0.3,0.0,0.9400000000000001,1.4000000000000001,0.75,1,1
1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1.93,1.2,0.52,0.56,0.1,0.0,0.72,2.21,1.36,1,1
0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,2.39,0.3,1.26,1.1400000000000001,0.2,0.0,1.78,2.1,1.75,0,1
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2.05,0.3,0.59,0.61,0.3,0.0,0.66,1.2,1.23,1,1
1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.3,0.6,0.42,0.75,0.3,0.0,0.53,0.9,0.55,2,1
